RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,90060521,Smith,549,France,Male,27,5,191383.0650329776,2,0,0,138618.77623146705,0
2,39864691,Brown,739,Spain,Male,66,1,154304.78724756563,3,1,0,56843.39629561816,0
3,70192827,Johnson,432,France,Female,89,2,86772.85416193673,1,1,0,138948.31594828086,0
4,81319860,Brown,418,France,Male,42,2,177194.99587723837,4,0,1,98467.71722915188,1
5,85125115,Williams,725,France,Male,32,6,199203.1773285484,1,1,1,154274.59761216256,0
6,76814280,Johnson,897,Spain,Female,89,0,114343.05588951163,2,1,0,163810.2681056528,0
7,82806598,Brown,653,Germany,Female,38,0,72883.33216837747,4,0,0,177770.5999882257,0
8,41196665,Brown,635,Spain,Female,28,5,219859.1630689587,2,0,1,36049.593850504294,1
9,30837187,Williams,507,France,Male,42,9,225498.88399225994,1,1,1,81693.80508201168,1
10,87993986,Williams,873,France,Male,61,2,83570.435878136,4,1,1,141424.1886086256,1
11,55794574,Jones,424,France,Male,58,2,52940.291503513006,2,1,1,57810.9927050524,0
12,72655107,Brown,726,Germany,Male,59,8,199101.0287729098,4,1,1,87941.508951636,0
13,81999795,Williams,651,Germany,Male,78,3,60742.058560703415,3,0,1,193455.23648077555,1
14,93904232,Brown,417,Spain,Female,48,2,37171.46811230379,4,1,0,171302.39343303483,1
15,27444868,Brown,889,Spain,Female,60,7,73835.36814042302,3,1,1,18630.37100668873,0
16,91225240,Jones,729,France,Female,19,4,13514.14345147553,2,1,0,116302.89396204565,0
17,44398731,Brown,483,France,Female,44,9,140263.77770447888,2,0,0,62709.25699585732,0
18,69624724,Brown,752,France,Male,64,5,109227.61759301324,2,0,1,126999.40970965812,0
19,77399201,Brown,504,France,Male,18,4,6786.104374038981,1,0,0,199167.29333514388,0
20,31621937,Williams,704,France,Female,65,1,44931.30466320061,1,1,0,26991.355517596567,0
21,85554344,Williams,534,Spain,Female,87,3,191535.7911125674,3,0,0,192952.95379402977,0
22,28259377,Brown,559,Germany,Male,77,9,164055.66012729268,4,0,1,17043.261864874225,1
23,20604208,Brown,623,Spain,Female,56,9,220462.02466359801,3,0,0,83070.60309455269,1
24,82120362,Smith,304,Spain,Male,35,9,238749.3479128559,1,0,0,31855.781647785247,1
25,88707163,Brown,580,Spain,Female,38,2,167013.37239934804,2,0,1,58294.53880549803,0
26,99217545,Williams,611,Spain,Male,21,9,146592.82099809696,4,1,0,46456.25459806531,0
27,60866176,Brown,811,Germany,Male,34,9,182240.7612768595,4,1,0,127396.54806124691,0
28,33279003,Williams,684,Spain,Female,38,8,177695.5458799361,2,1,0,134961.83957410706,1
29,49286055,Brown,778,Spain,Female,43,7,72131.55117063603,3,1,0,36157.50096534297,0
30,14550997,Johnson,841,Spain,Female,66,9,189414.91764522696,2,1,1,182987.43269569578,1
31,29495996,Smith,736,Germany,Female,57,1,108524.4739963113,3,1,1,160273.914916967,1
32,66391642,Johnson,598,Spain,Female,28,9,246313.68005458766,4,1,1,101621.4089641494,1
33,79167379,Williams,603,Spain,Female,81,8,77157.97577388464,3,1,0,134749.80038955677,1
34,90017176,Brown,473,Germany,Male,23,1,112910.05562968747,4,1,1,89009.07969083471,0
